Pardavėjas,Pirkėjas,Sortimento pavadinimas,Rušies pavadinimas,Kokybės klasė,Stambumo klasė,"Ilgio klase,m"
Pardavėjas_1,Pirkėjas_1,Mediena,Azuolas,A,Vidutinė,6.5
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Pušis,D,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Pušis,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,C,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,D,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,D,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
VĮ Radviliškio miškų urėdija,"ŽŪB "" Šiaulėnų statyba""",Pjautinieji rąstai,Eglė,B,St I 32-49,L2: 3.0-3.9
